Estacion: RUTA PROVINCIAL Nº 157 - ATAHONA,,,,
Parametro: Aforos,,,,
,,,,
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
14/12/2011 01:30:00 p.m.,"1,99","20,639","0,785","4,297"
16/12/2011 01:05:00 p.m.,"1,97","19,636","0,355","1,573"
19/12/2011 01:25:00 p.m.,"1,82","14,027","0,308","0,99"
22/12/2011 01:35:00 p.m.,"1,74","10,491","0,16","0,535"
04/01/2012 01:20:00 p.m.,"1,83","12,728","0,588","0,881"
09/01/2012 12:50:00 p.m.,"1,8","11,619","0,963","1,838"
13/01/2012 12:30:00 p.m.,"2,04","20,333","1,864","2,76"
16/01/2012 12:40:00 p.m.,"1,85","13,706","0,167","5,122"
18/01/2012 12:40:00 p.m.,"1,8","11,688","0,072","0,804"
23/01/2012 12:40:00 p.m.,"1,97","18,656","0,563","1,086"
27/01/2012 01:00:00 p.m.,"1,92","15,904","0,204","0,84"
30/01/2012 01:00:00 p.m.,"1,81","12,49","0,205","2,053"
01/02/2012 04:10:00 p.m.,"2,2","26,248","0,254","3,498"
06/02/2012 02:30:00 p.m.,"1,83","11,951","0,077","0,704"
10/02/2012 02:40:00 p.m.,"2,65","55,249","4,071","10,732"
13/02/2012 12:25:00 p.m.,"2,02","19,816","0,719","6,999"
15/02/2012 02:00:00 p.m.,"2,12","24,426","1,383","3,551"
22/02/2012 02:50:00 p.m.,"2,56","42,566","1,387","16,183"
24/02/2012 12:15:00 p.m.,"3,05","72,713","1,011","5,824"
29/02/2012 12:30:00 p.m.,"2,24","27,035","0,825","2,171"
02/03/2012 04:20:00 p.m.,"2,5","37,773","1,954","5,352"
05/03/2012 12:35:00 p.m.,"2,01","14,418","0,102","0,514"
09/03/2012 01:00:00 p.m.,"2,09","17,755","0,485","0,995"
12/03/2012 01:15:00 p.m.,2,"14,485","0,938","4,166"
16/03/2012 01:10:00 p.m.,"1,94","11,481","0,18","0,507"
19/03/2012 03:10:00 p.m.,"1,85","8,809","0,155","0,329"
23/03/2012 03:00:00 p.m.,"2,62","50,044","2,919","9,69"
27/03/2012 02:30:00 p.m.,"2,45","37,607","2,731","10,581"
04/04/2012 12:25:00 p.m.,"2,2","24,18","0,213","0,496"
10/04/2012 12:20:00 p.m.,"2,21","24,744","0,25","0,381"
19/04/2012 01:10:00 p.m.,"2,08","17,02","0,244","0,311"
23/04/2012 12:35:00 p.m.,"2,46","36,211","1,846","5,444"
16/05/2012 12:40:00 p.m.,"1,98","13,557","0,283","0,313"
21/06/2012 12:15:00 p.m.,"1,78","6,181","0,111","0,145"
12/07/2012 01:00:00 p.m.,"1,73","4,741","0,285","0,325"
13/08/2012 03:10:00 p.m.,"1,71","4,683","0,068","0,553"
14/09/2012 01:20:00 p.m.,"1,66","3,544","0,223","0,616"
11/10/2012 12:30:00 p.m.,"1,67","3,452","0,033","0,106"
19/10/2012 12:30:00 p.m.,"1,6","2,278","0,139","0,201"
06/11/2012 12:50:00 p.m.,2,"13,042","0,422","2,759"
16/11/2012 12:45:00 p.m.,"1,93","11,719","0,272","0,652"
23/11/2012 12:30:00 p.m.,"1,76","6,371","1,109","0,936"
27/11/2012 12:50:00 p.m.,"2,08","17,046","0,677","6,636"
04/12/2012 03:10:00 p.m.,"1,98","12,002","0,166","0,592"
10/12/2012 12:20:00 p.m.,"2,1","16,775","0,468","1,32"
13/12/2012 03:00:00 p.m.,"2,41","27,911","0,238","1,198"
14/12/2012 12:40:00 p.m.,"2,44","29,058","1,86","11,08"
17/12/2012 12:20:00 p.m.,"1,87","10,091","0,509","0,809"
19/12/2012 12:50:00 p.m.,"1,8","7,51","0,118","0,544"
26/12/2012 12:25:00 p.m.,"1,75","6,088","0,132","0,758"
28/12/2012 12:25:00 p.m.,"1,67","3,871","0,038","0,216"
03/01/2013 11:25:00 a.m.,"1,73","6,755","0,037","0,231"
08/01/2013 12:40:00 p.m.,"1,98","15,175","0,186","1,047"
11/01/2013 12:30:00 p.m.,"3,01","45,202","0,624","3,287"
14/01/2013 12:10:00 p.m.,"2,05","15,952","0,151","3,038"
18/01/2013 12:20:00 p.m.,"2,32","24,832","1,432","7,141"
22/01/2013 11:50:00 a.m.,"2,36","25,922","1,748","6,672"
24/01/2013 12:30:00 p.m.,"2,11","18,626","0,688","3,575"
28/01/2013 12:40:00 p.m.,"1,88","11,451","0,281","1,081"
01/02/2013 02:00:00 p.m.,"1,81","8,491","0,153","0,489"
05/02/2013 02:30:00 p.m.,"1,82","8,606","0,2","0,493"
07/02/2013 02:00:00 p.m.,"1,74","6,272","1,077","3,473"
13/02/2013 02:05:00 p.m.,"1,76","6,633","0,868","1,586"
15/02/2013 01:40:00 p.m.,"1,7","5,405","0,184","0,705"
19/02/2013 11:45:00 a.m.,"2,57","30,253","2,821","10,382"
21/02/2013 01:30:00 p.m.,"2,11","18,519","0,648","1,208"
26/02/2013 12:40:00 p.m.,"2,74","40,28","7,971","27,514"
01/03/2013 12:30:00 p.m.,"2,08","16,912","0,47","4,545"
04/03/2013 12:10:00 p.m.,"1,92","12,172","0,466","2,689"
11/03/2013 12:10:00 p.m.,"2,595","33,34","6,353","40,971"
15/03/2013 12:25:00 p.m.,"2,82","41,012","4,632","33,467"
19/03/2013 12:10:00 p.m.,"2,5","27,545","3,563","4,657"
22/03/2013 12:00:00 p.m.,"2,09","17,029","0,208","0,662"
25/03/2013 12:20:00 p.m.,"2,1","18,334","0,659","1,248"
27/03/2013 12:20:00 p.m.,"2,42","27,508","17,522","9,277"
